"","State","Year","month","checks"
"460","Georgia",2019,"Oct",43417
"461","Georgia",2019,"Nov",48604
"462","Georgia",2019,"Dec",63154
"463","Guam",2019,"Jan",181
"464","Guam",2019,"Feb",178
"465","Guam",2019,"Mar",195
"466","Guam",2019,"Apr",150
"467","Guam",2019,"May",163
"468","Guam",2019,"Jun",181
"469","Guam",2019,"Jul",200
"470","Guam",2019,"Aug",248
"471","Guam",2019,"Sep",209
"472","Guam",2019,"Oct",217
"473","Guam",2019,"Nov",181
"474","Guam",2019,"Dec",294
"475","Hawaii",2019,"Jan",1068
"476","Hawaii",2019,"Feb",1032
"477","Hawaii",2019,"Mar",1129
"478","Hawaii",2019,"Apr",1212
"479","Hawaii",2019,"May",1105
"480","Hawaii",2019,"Jun",857
"481","Hawaii",2019,"Jul",1045
"482","Hawaii",2019,"Aug",1025
"483","Hawaii",2019,"Sep",969
"484","Hawaii",2019,"Oct",1102
"485","Hawaii",2019,"Nov",923
"486","Hawaii",2019,"Dec",1199
"487","Idaho",2019,"Jan",13634
"488","Idaho",2019,"Feb",16965
"489","Idaho",2019,"Mar",18314
"490","Idaho",2019,"Apr",16004
"491","Idaho",2019,"May",17565
"492","Idaho",2019,"Jun",17541
"493","Idaho",2019,"Jul",19637
"494","Idaho",2019,"Aug",16411
"495","Idaho",2019,"Sep",15818
"496","Idaho",2019,"Oct",19392
"497","Idaho",2019,"Nov",17385
"498","Idaho",2019,"Dec",20609
"499","Illinois",2019,"Jan",331325
"500","Illinois",2019,"Feb",190886
"501","Illinois",2019,"Mar",376018
"502","Illinois",2019,"Apr",405464
"503","Illinois",2019,"May",381771
"504","Illinois",2019,"Jun",373166
"505","Illinois",2019,"Jul",439458
"506","Illinois",2019,"Aug",491715
"507","Illinois",2019,"Sep",483162
"508","Illinois",2019,"Oct",478329
"509","Illinois",2019,"Nov",450084
"510","Illinois",2019,"Dec",548192
"511","Indiana",2019,"Jan",160140
"512","Indiana",2019,"Feb",71892
"513","Indiana",2019,"Mar",98597
"514","Indiana",2019,"Apr",106096
"515","Indiana",2019,"May",292587
"516","Indiana",2019,"Jun",273660
"517","Indiana",2019,"Jul",61139
"518","Indiana",2019,"Aug",74022
"519","Indiana",2019,"Sep",72951
"520","Indiana",2019,"Oct",77713
"521","Indiana",2019,"Nov",80002
"522","Indiana",2019,"Dec",81766
"523","Iowa",2019,"Jan",16067
"524","Iowa",2019,"Feb",15181
"525","Iowa",2019,"Mar",20108
"526","Iowa",2019,"Apr",15144
"527","Iowa",2019,"May",12850
"528","Iowa",2019,"Jun",10933
"529","Iowa",2019,"Jul",11507
"530","Iowa",2019,"Aug",11760
"531","Iowa",2019,"Sep",12081
"532","Iowa",2019,"Oct",16605
"533","Iowa",2019,"Nov",20819
"534","Iowa",2019,"Dec",19747
"535","Kansas",2019,"Jan",13767
"536","Kansas",2019,"Feb",15224
"537","Kansas",2019,"Mar",17353
"538","Kansas",2019,"Apr",11933
"539","Kansas",2019,"May",11538
"540","Kansas",2019,"Jun",10622
"541","Kansas",2019,"Jul",10662
"542","Kansas",2019,"Aug",13227
"543","Kansas",2019,"Sep",11473
"544","Kansas",2019,"Oct",13324
"545","Kansas",2019,"Nov",17643
"546","Kansas",2019,"Dec",20244
"547","Kentucky",2019,"Jan",308573
"548","Kentucky",2019,"Feb",328572
"549","Kentucky",2019,"Mar",379268
"550","Kentucky",2019,"Apr",381411
"551","Kentucky",2019,"May",332076
"552","Kentucky",2019,"Jun",369622
"553","Kentucky",2019,"Jul",319270
"554","Kentucky",2019,"Aug",315348
"555","Kentucky",2019,"Sep",286064
"556","Kentucky",2019,"Oct",303650
"557","Kentucky",2019,"Nov",391747
"558","Kentucky",2019,"Dec",405291
"559","Louisiana",2019,"Jan",21945
"560","Louisiana",2019,"Feb",24345
"561","Louisiana",2019,"Mar",25970
"562","Louisiana",2019,"Apr",19650
"563","Louisiana",2019,"May",19274
"564","Louisiana",2019,"Jun",17509
"565","Louisiana",2019,"Jul",17385
"566","Louisiana",2019,"Aug",23780
"567","Louisiana",2019,"Sep",23463
"568","Louisiana",2019,"Oct",24893
"569","Louisiana",2019,"Nov",28692
"570","Louisiana",2019,"Dec",35358
"571","Maine",2019,"Jan",6682
"572","Maine",2019,"Feb",6794
"573","Maine",2019,"Mar",8766
"574","Maine",2019,"Apr",7375
"575","Maine",2019,"May",6552
"576","Maine",2019,"Jun",5809
"577","Maine",2019,"Jul",5437
"578","Maine",2019,"Aug",7686
"579","Maine",2019,"Sep",8510
"580","Maine",2019,"Oct",9912
"581","Maine",2019,"Nov",8297
"582","Maine",2019,"Dec",8806
"583","Mariana Islands",2019,"Jan",25
"584","Mariana Islands",2019,"Feb",19
"585","Mariana Islands",2019,"Mar",18
"586","Mariana Islands",2019,"Apr",15
"587","Mariana Islands",2019,"May",17
"588","Mariana Islands",2019,"Jun",18
"589","Mariana Islands",2019,"Jul",13
"590","Mariana Islands",2019,"Aug",9
"591","Mariana Islands",2019,"Sep",16
"592","Mariana Islands",2019,"Oct",16
"593","Mariana Islands",2019,"Nov",13
"594","Mariana Islands",2019,"Dec",10
"595","Maryland",2019,"Jan",11976
"596","Maryland",2019,"Feb",12190
"597","Maryland",2019,"Mar",15083
"598","Maryland",2019,"Apr",12537
"599","Maryland",2019,"May",10904
"600","Maryland",2019,"Jun",9839
"601","Maryland",2019,"Jul",9891
"602","Maryland",2019,"Aug",11823
"603","Maryland",2019,"Sep",11386
"604","Maryland",2019,"Oct",13720
"605","Maryland",2019,"Nov",14459
"606","Maryland",2019,"Dec",15005
"607","Massachusetts",2019,"Jan",19812
"608","Massachusetts",2019,"Feb",18604
"609","Massachusetts",2019,"Mar",20670
"610","Massachusetts",2019,"Apr",17738
"611","Massachusetts",2019,"May",18007
"612","Massachusetts",2019,"Jun",16256
"613","Massachusetts",2019,"Jul",15272
"614","Massachusetts",2019,"Aug",19189
"615","Massachusetts",2019,"Sep",16991
"616","Massachusetts",2019,"Oct",18059
"617","Massachusetts",2019,"Nov",16649
"618","Massachusetts",2019,"Dec",15069
"619","Michigan",2019,"Jan",35884
"620","Michigan",2019,"Feb",39073
"621","Michigan",2019,"Mar",51698
"622","Michigan",2019,"Apr",40570
"623","Michigan",2019,"May",35352
"624","Michigan",2019,"Jun",32369
"625","Michigan",2019,"Jul",31607
"626","Michigan",2019,"Aug",39967
"627","Michigan",2019,"Sep",40925
"628","Michigan",2019,"Oct",44078
"629","Michigan",2019,"Nov",51439
"630","Michigan",2019,"Dec",49209
"631","Minnesota",2019,"Jan",53145
"632","Minnesota",2019,"Feb",50984
"633","Minnesota",2019,"Mar",75386
"634","Minnesota",2019,"Apr",72720
"635","Minnesota",2019,"May",56564
"636","Minnesota",2019,"Jun",45667
"637","Minnesota",2019,"Jul",42454
"638","Minnesota",2019,"Aug",53571
"639","Minnesota",2019,"Sep",54733
"640","Minnesota",2019,"Oct",62920
"641","Minnesota",2019,"Nov",55511
"642","Minnesota",2019,"Dec",58701
"643","Mississippi",2019,"Jan",17416
"644","Mississippi",2019,"Feb",21681
"645","Mississippi",2019,"Mar",23090
"646","Mississippi",2019,"Apr",15894
"647","Mississippi",2019,"May",15190
"648","Mississippi",2019,"Jun",13809
"649","Mississippi",2019,"Jul",13918
"650","Mississippi",2019,"Aug",21951
"651","Mississippi",2019,"Sep",16974
"652","Mississippi",2019,"Oct",19167
"653","Mississippi",2019,"Nov",26494
"654","Mississippi",2019,"Dec",32804
"655","Missouri",2019,"Jan",36657
"656","Missouri",2019,"Feb",42502
"657","Missouri",2019,"Mar",51487
"658","Missouri",2019,"Apr",35825
"659","Missouri",2019,"May",34114
"660","Missouri",2019,"Jun",32674
"661","Missouri",2019,"Jul",31627
"662","Missouri",2019,"Aug",42413
"663","Missouri",2019,"Sep",36924
"664","Missouri",2019,"Oct",44498
"665","Missouri",2019,"Nov",51008
"666","Missouri",2019,"Dec",58129
"667","Montana",2019,"Jan",7695
"668","Montana",2019,"Feb",8224
"669","Montana",2019,"Mar",11143
"670","Montana",2019,"Apr",9419
"671","Montana",2019,"May",8603
"672","Montana",2019,"Jun",8276
"673","Montana",2019,"Jul",8110
"674","Montana",2019,"Aug",9931
"675","Montana",2019,"Sep",10091
"676","Montana",2019,"Oct",11496
"677","Montana",2019,"Nov",10295
"678","Montana",2019,"Dec",12540
"679","Nebraska",2019,"Jan",6635
"680","Nebraska",2019,"Feb",5759
"681","Nebraska",2019,"Mar",6878
"682","Nebraska",2019,"Apr",5267
"683","Nebraska",2019,"May",4495
"684","Nebraska",2019,"Jun",4411
"685","Nebraska",2019,"Jul",4044
"686","Nebraska",2019,"Aug",5396
"687","Nebraska",2019,"Sep",5065
"688","Nebraska",2019,"Oct",5807
"689","Nebraska",2019,"Nov",6208
"690","Nebraska",2019,"Dec",8271
"691","Nevada",2019,"Jan",10920
"692","Nevada",2019,"Feb",11643
"693","Nevada",2019,"Mar",13856
"694","Nevada",2019,"Apr",10524
"695","Nevada",2019,"May",9769
"696","Nevada",2019,"Jun",9248
"697","Nevada",2019,"Jul",8635
"698","Nevada",2019,"Aug",10782
"699","Nevada",2019,"Sep",9285
"700","Nevada",2019,"Oct",10464
"701","Nevada",2019,"Nov",10424
"702","Nevada",2019,"Dec",12762
"703","New Hampshire",2019,"Jan",9156
"704","New Hampshire",2019,"Feb",10213
"705","New Hampshire",2019,"Mar",11684
"706","New Hampshire",2019,"Apr",9389
"707","New Hampshire",2019,"May",8193
"708","New Hampshire",2019,"Jun",8018
"709","New Hampshire",2019,"Jul",7439
"710","New Hampshire",2019,"Aug",9617
"711","New Hampshire",2019,"Sep",8940
"712","New Hampshire",2019,"Oct",9754
"713","New Hampshire",2019,"Nov",9538
"714","New Hampshire",2019,"Dec",10232
"715","New Jersey",2019,"Jan",6892
"716","New Jersey",2019,"Feb",7030
"717","New Jersey",2019,"Mar",8410
"718","New Jersey",2019,"Apr",8173
"719","New Jersey",2019,"May",7693
"720","New Jersey",2019,"Jun",7208
"721","New Jersey",2019,"Jul",7049
"722","New Jersey",2019,"Aug",7721
"723","New Jersey",2019,"Sep",7372
"724","New Jersey",2019,"Oct",7327
"725","New Jersey",2019,"Nov",7955
"726","New Jersey",2019,"Dec",8427
"727","New Mexico",2019,"Jan",11571
"728","New Mexico",2019,"Feb",14727
"729","New Mexico",2019,"Mar",16850
